City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max_Temp,Temp,Wind_Speed
pevek,ru,8,1527813133,83,69.7,170.27,37.31,37.31,18.48
churu,in,0,1527813133,48,28.3,74.97,83.21,83.21,7.63
east london,za,0,1527813134,100,-33.02,27.91,70.07,70.07,17.69
korem,et,36,1527813134,78,12.51,39.52,62.42,62.42,2.82
geraldton,ca,90,1527811200,93,49.72,-86.95,41,41,17.22
samusu,ws,,,,,,,,
kyren,ru,56,1527813134,79,51.68,102.13,51.17,51.17,2.37
attawapiskat,ca,,,,,,,,
providencia,mx,20,1527807600,83,1.24,-77.6,69.8,62.56,3.36
pipri,in,0,1527813135,81,24.21,83.02,76.28,76.28,3.94
saint george,bm,0,1527813135,81,39.45,22.34,60.35,60.35,2.59
vanavara,ru,44,1527813017,70,60.35,102.28,57.65,57.65,6.85
boa vista,br,40,1527811200,78,2.82,-60.67,80.6,80.6,5.82
nileshwar,in,88,1527813137,100,12.25,75.1,80.33,80.33,4.61
tessalit,ml,8,1527813137,15,20.2,1.01,84.02,84.02,8.41
sampit,id,20,1527813137,99,-2.54,112.95,75.02,75.02,4.61
calbuco,cl,40,1527811200,86,-41.77,-73.13,39.2,39.2,5.82
luderitz,na,0,1527813137,90,-26.65,15.16,52.25,52.25,3.94
cape town,za,75,1527811200,93,-33.93,18.42,57.2,57.2,25.28
aden,ye,24,1527813138,98,12.79,45.03,86.36,86.36,7.18
bathsheba,bb,40,1527811200,78,13.22,-59.52,78.8,78.8,19.46
lavrentiya,ru,80,1527813138,94,65.58,-170.99,33.44,33.44,3.6
hithadhoo,mv,56,1527813139,100,-0.6,73.08,83.93,83.93,15.12
komsomolskiy,ru,92,1527813139,90,67.55,63.78,26.15,26.15,16.24
batagay-alyta,ru,24,1527813139,65,67.8,130.41,44.87,44.87,3.83
etaples,fr,90,1527812400,100,50.52,1.63,57.2,57.2,1.12
poninka,ua,0,1527813140,33,50.19,27.56,61.7,61.7,13.33
springbok,za,12,1527813140,91,-29.67,17.88,39.65,39.65,9.64
namatanai,pg,64,1527813140,100,-3.66,152.44,81.23,81.23,4.94
srivardhan,in,20,1527813140,96,18.03,73.02,78.35,78.35,3.71
port hardy,ca,40,1527811200,62,50.7,-127.42,55.4,55.4,14.99
shu,kz,0,1527813141,33,43.6,73.76,52.43,52.43,7.63
nadym,ru,92,1527813141,90,65.53,72.51,35.42,35.42,20.49
luwuk,id,88,1527813141,100,-0.95,122.79,75.11,75.11,4.94
kailua,us,40,1527811020,74,21.39,-157.74,84.2,81.97,11.41
mar del plata,ar,0,1527813142,100,-46.43,-67.52,27.59,27.59,4.27
lima,pe,12,1527812975,72,-12.06,-77.04,59,59,1.92
kozluk,tr,40,1527810600,93,38.17,41.5,60.8,60.8,5.82
tecoanapa,mx,20,1527810540,70,16.99,-99.26,87.8,87.8,8.05
lagoa,pt,0,1527811200,77,37.14,-8.45,62.6,62.6,11.41
dingle,ie,68,1527813143,100,11,122.67,77.54,77.54,2.93
hirara,jp,75,1527811200,88,24.8,125.28,82.4,81.52,9.17
kamenka,ru,0,1527813143,43,53.19,44.05,38.03,38.03,10.42
margate,za,75,1527811200,70,-43.03,147.26,48.2,48.2,11.41
shirvan,ir,,,,,,,,
matsanga,cg,,,,,,,,
malwan,in,,,,,,,,
sao gabriel da cachoeira,br,48,1527813144,94,-0.13,-67.09,76.19,76.19,0.36
roblin,ca,88,1527813145,63,51.23,-101.35,68.18,68.18,8.75
isangel,vu,100,1527813145,100,-19.55,169.27,76.28,76.28,6.85
sur,om,0,1527813145,78,22.57,59.53,88.43,88.43,4.94
esil,kz,8,1527813145,47,51.96,66.41,57.92,57.92,14.34
vestmannaeyjar,is,0,1527813146,93,63.44,-20.27,45.68,45.68,10.2
te anau,nz,0,1527813146,92,-45.41,167.72,39.65,39.65,2.93
west wendover,us,40,1527810960,39,40.74,-114.07,66.2,66.2,35.57
hvolsvollur,is,,,,,,,,
cherskiy,ru,64,1527813146,69,68.75,161.3,46.4,46.4,2.48
batagay,ru,0,1527813147,69,67.65,134.64,51.53,51.53,4.38
arman,ru,75,1527811200,37,59.7,150.17,55.4,55.4,6.71
lazaro cardenas,mx,20,1527810480,10,28.39,-105.62,102.2,102.2,6.93
bredy,ru,92,1527813147,95,52.43,60.33,45.68,45.68,5.39
riaba,gq,,,,,,,,
malatya,tr,,,,,,,,
ulladulla,au,75,1527807600,58,-35.36,150.48,53.6,53.6,16.11
taltal,cl,0,1527813023,95,-25.41,-70.49,50.18,50.18,2.15
codrington,ag,0,1527813148,67,-28.95,153.24,57.2,57.2,4.16
niono,ml,0,1527813148,52,14.25,-5.99,86,86,8.3
illoqqortoormiut,gl,,,,,,,,
lac-megantic,ca,1,1527812100,40,45.58,-70.88,78.8,75.4,3.36
saleaula,ws,,,,,,,,
provideniya,ru,75,1527811200,75,64.42,-173.23,44.6,44.6,6.71
ketchikan,us,1,1527810960,41,55.34,-131.65,60.8,56.53,13.87
koudougou,bf,0,1527813150,72,12.25,-2.37,80.33,80.33,4.38
kruisfontein,za,0,1527813036,72,-34,24.73,60.98,60.98,14
mayumba,ga,92,1527813150,98,-3.44,10.65,76.01,76.01,8.75
cabo san lucas,mx,5,1527810720,24,22.89,-109.91,91.4,91.4,8.05
yanam,in,44,1527813150,90,16.73,82.22,84.47,84.47,3.38
bonavista,ca,92,1527813003,93,48.65,-53.11,38.57,38.57,20.49
upernavik,gl,76,1527813151,85,72.79,-56.15,34.88,34.88,4.38
novominskaya,ru,44,1527813151,60,46.32,38.96,65.75,65.75,7.18
biak,id,88,1527813151,100,-0.91,122.88,75.11,75.11,4.94
nome,us,1,1527810900,66,30.04,-94.42,87.8,86.92,10.29
tautira,pf,20,1527811200,62,-17.73,-149.15,84.2,84.2,9.17
bodden town,ky,20,1527811200,83,19.28,-81.25,82.4,82.4,12.75
leninsk-kuznetskiy,ru,90,1527811200,93,54.66,86.17,46.4,46.4,13.42
tuatapere,nz,0,1527812988,100,-46.13,167.69,48.56,48.56,2.93
swidwin,pl,0,1527811200,60,53.77,15.78,69.8,69.8,6.93
gorontalo,id,92,1527813153,92,0.54,123.06,75.65,75.65,2.04
labutta,mm,,,,,,,,
luancheng,cn,0,1527811200,41,37.88,114.65,77,77,8.95
port blair,in,76,1527813153,100,11.67,92.75,82.04,82.04,12.21
mys shmidta,ru,,,,,,,,
nantucket,us,1,1527812100,100,41.28,-70.1,62.6,60.84,6.93
halden,no,0,1527810600,76,59.12,11.39,57.2,57.2,2.24
shimoda,jp,75,1527811200,60,34.7,138.93,71.6,70.59,13.87
mahajanga,mg,20,1527811200,83,-15.72,46.32,73.4,73.4,2.24
san policarpo,ph,32,1527813155,98,12.18,125.51,83.48,83.48,2.93
yarmouth,ca,88,1527810600,100,50.71,-1.5,59,57.83,4.7
bethel,us,90,1527810780,57,60.79,-161.76,51.8,51.8,5.82
meulaboh,id,56,1527813156,100,4.14,96.13,80.6,80.6,5.5
caravelas,br,8,1527813156,100,-17.73,-39.27,76.19,76.19,11.43
khatanga,ru,92,1527813156,100,71.98,102.47,35.33,35.33,14
birjand,ir,0,1527811200,23,32.86,59.22,64.4,64.4,9.17
lucea,jm,40,1527811200,88,18.44,-78.17,78.8,78.8,6.93
nanortalik,gl,0,1527813157,94,60.14,-45.24,34.79,34.79,5.95
grindavik,is,90,1527811200,87,63.84,-22.43,42.8,42.8,5.82
hasaki,jp,40,1527811200,53,35.73,140.83,71.6,71.6,14.99
ahipara,nz,56,1527813024,98,-35.17,173.16,58.19,58.19,13.78
ilulissat,gl,92,1527810600,80,69.22,-51.1,35.6,35.6,21.92
vaitupu,wf,,,,,,,,
kalmunai,lk,32,1527813158,96,7.42,81.82,76.73,76.73,5.61
sakete,bj,20,1527811200,88,6.74,2.66,80.6,80.6,5.82
mountain home,us,20,1527811080,37,43.13,-115.69,69.8,67.73,20.8
nemuro,jp,20,1527811200,62,43.32,145.57,55.4,55.4,10.29
carmen,mx,56,1527813159,92,7.2,124.8,77.54,77.54,3.27
new norfolk,au,75,1527811200,70,-42.78,147.06,48.2,48.2,11.41
camden,us,40,1527812220,88,39.94,-75.12,78.8,74.35,4.7
istok,ru,0,1527813160,43,52.66,23.48,62.78,62.78,12.1
salalah,om,75,1527810600,88,17.01,54.1,82.4,82.4,3.36
tokoroa,nz,0,1527813160,87,-38.22,175.87,50.09,50.09,3.6
chernyshevskiy,ru,0,1527813160,59,63.01,112.47,59.18,59.18,5.84
miri,my,20,1527813161,79,10.31,9.75,71.87,71.87,3.04
atar,mr,92,1527813161,50,20.52,-13.05,80.15,80.15,4.61
lompoc,us,40,1527810960,59,34.64,-120.46,64.4,61.92,16.11
longyearbyen,sj,75,1527810600,98,78.22,15.63,35.6,35.6,4.7
san angelo,us,1,1527810660,37,31.46,-100.44,96.8,96.8,9.17
coquimbo,cl,20,1527811200,81,-29.95,-71.34,53.6,53.6,4.7
vila velha,br,75,1527811200,78,-3.71,-38.6,82.4,82.4,12.75
saint anthony,ca,75,1527811440,76,43.97,-111.68,66.2,60.3,10.09
saryshagan,kz,,,,,,,,
daigo,jp,20,1527812100,36,36.78,140.36,75.2,70.34,9.17
sao filipe,cv,0,1527813163,98,14.9,-24.5,72.23,72.23,10.42
kavieng,pg,68,1527813163,100,-2.57,150.8,79.43,79.43,8.63
samalaeulu,ws,,,,,,,,
khasan,ru,0,1527813163,83,42.43,130.64,56.3,56.3,2.04
lugovoy,ru,48,1527813163,84,59.72,65.88,39.2,39.2,7.18
addis zemen,et,,,,,,,,
eureka,us,1,1527810900,71,40.8,-124.16,57.2,57.2,16.11
moerai,pf,76,1527813164,100,-22.43,-151.33,78.62,78.62,10.76
ukwa,in,56,1527813164,93,5.47,8.01,76.37,76.37,4.72
yaan,cn,48,1527813164,88,7.38,8.57,77.18,77.18,11.1
thaba-tseka,ls,0,1527813165,91,-29.52,28.61,33.89,33.89,3.83
tiznit,ma,0,1527813165,91,29.7,-9.73,61.7,61.7,6.4
carazinho,br,76,1527813165,90,-28.3,-52.79,63.95,63.95,6.96
manokwari,id,48,1527813165,100,-0.87,134.08,80.69,80.69,2.93
bacuit,ph,,,,,,,,
tateyama,jp,75,1527811200,72,36.66,137.31,64.4,64.4,1.12
emerald,au,12,1527813166,53,-23.53,148.16,56.57,56.57,6.62
ancud,cl,0,1527813166,92,-41.87,-73.83,37.94,37.94,5.73
piacabucu,br,12,1527813166,79,-10.41,-36.43,73.67,73.67,7.18
airai,pw,8,1527813167,86,-8.93,125.41,71.87,71.87,2.37
kamennogorsk,ru,0,1527812400,93,60.95,29.13,42.8,42.8,3.36
thunder bay,ca,90,1527811200,82,48.41,-89.26,55.4,55.4,13.87
saint-pierre,pm,0,1527811200,100,48.95,4.24,60.8,59.99,5.82
lata,sb,24,1527813028,76,30.78,78.62,52.07,52.07,1.59
verkhnyaya tura,ru,68,1527813168,72,58.36,59.82,36.77,36.77,8.75
narathiwat,th,75,1527807600,94,6.43,101.8,77,77,4.7
presidencia roque saenz pena,ar,92,1527813168,97,-26.79,-60.44,58.91,58.91,16.69
novorzhev,ru,0,1527813169,54,57.03,29.33,45.32,45.32,6.85
trelew,ar,0,1527813169,83,-43.25,-65.31,27.86,27.86,2.82
mocuba,mz,0,1527813169,88,-16.84,36.99,58.64,58.64,2.59
leningradskiy,ru,0,1527813169,95,69.38,178.42,33.71,33.71,6.4
ndele,cf,,,,,,,,
talnakh,ru,76,1527813170,100,69.49,88.39,29.75,29.75,4.94
shelburne,ca,20,1527811920,78,44.08,-80.2,77,75.16,4.7
laval,fr,75,1527811200,69,45.58,-73.75,77,77,10.29
guymon,us,1,1527812100,35,36.68,-101.48,91.4,90.5,8.05
kiruna,se,44,1527810600,54,67.86,20.23,55.4,55.4,6.62
vanimo,pg,68,1527813171,100,-2.67,141.3,79.16,79.16,9.64
leshukonskoye,ru,76,1527813171,64,64.9,45.76,34.16,34.16,7.96
shache,cn,0,1527813171,66,38.42,77.24,48.29,48.29,3.6
bilma,ne,0,1527813172,24,18.69,12.92,72.23,72.23,2.71
salair,ru,88,1527813172,76,54.23,85.8,48.11,48.11,7.85
haines junction,ca,0,1527813172,27,60.75,-137.51,49.55,49.55,2.59
palabuhanratu,id,,,,,,,,
pangai,to,40,1527811200,65,-19.8,-174.35,78.8,78.8,11.41
rochegda,ru,20,1527813173,59,62.67,43.41,36.32,36.32,8.63
yilan,cn,75,1527811200,88,24.75,121.75,77,77,12.75
katsuura,jp,20,1527811200,68,33.93,134.5,66.2,66.2,5.82
tilichiki,ru,88,1527813173,100,60.47,166.1,39.11,39.11,3.49
hambantota,lk,64,1527812940,100,6.12,81.12,78.35,78.35,13.67
heze,cn,0,1527813174,57,35.25,115.45,77.81,77.81,1.36
sakaiminato,jp,75,1527807600,56,35.55,133.23,68,66,3.36
valparaiso,cl,1,1527812100,51,41.47,-87.06,86,81.91,6.93
taoudenni,ml,12,1527813174,21,22.68,-3.98,84.65,84.65,11.43
hastings,us,0,1527813175,100,-39.64,176.84,52.43,52.43,4.94
staryy krym,ua,20,1527813175,65,45.03,35.1,70.88,70.88,15.01
bridlington,gb,88,1527812400,93,54.08,-0.19,55.4,54.81,3.36
artyk,ru,,,,,,,,
xinqing,cn,0,1527813175,57,48.28,129.53,72.77,72.77,3.15
ciechocinek,pl,0,1527811200,77,52.88,18.79,64.4,64.4,8.05
amderma,ru,,,,,,,,
omboue,ga,44,1527813176,100,-1.57,9.26,78.62,78.62,10.65
nurota,uz,0,1527811200,36,40.56,65.69,60.8,60.8,9.17
nizhneyansk,ru,,,,,,,,
yerofey pavlovich,ru,12,1527813177,76,53.97,121.97,65.93,65.93,3.15
kilimatinde,tz,0,1527813177,82,-5.75,34.82,61.79,61.79,6.62
luanda,ao,12,1527813177,99,-8.83,13.24,72.86,72.86,6.62
shingu,jp,75,1527811200,60,33.72,135.99,71.6,71.6,12.75
kushiro,jp,40,1527811200,54,43.11,144.15,59,59,13.87
yokadouma,cm,92,1527813178,99,3.52,15.05,68,68,2.93
panormos,gr,24,1527813178,92,38.37,22.25,62.96,62.96,3.38
flinders,au,75,1527807600,58,-34.58,150.85,53.6,53.6,16.11
sakakah,sa,,,,,,,,
ormara,pk,48,1527813179,93,25.21,64.64,79.97,79.97,9.19
yulara,au,0,1527811200,32,-25.24,130.99,51.8,51.8,10.29
lushunkou,cn,,,,,,,,
muisne,ec,76,1527813179,78,0.61,-80.02,78.98,78.98,4.61
tra vinh,vn,88,1527813180,100,9.93,106.35,77.9,77.9,3.71
tres picos,mx,90,1527810660,51,16.23,-93.58,84.2,84.2,12.75
kodiak,us,1,1527810780,43,39.95,-94.76,89.6,89.6,5.82
denia,es,0,1527813112,93,38.84,0.11,68.18,68.18,9.42
ostrovnoy,ru,32,1527813180,88,68.05,39.51,25.97,25.97,4.38
alice springs,au,0,1527811200,34,-23.7,133.88,50,50,4.7
toliary,mg,,,,,,,,
roald,no,92,1527810600,100,62.58,6.12,62.6,60.33,5.82
verkh-usugli,ru,0,1527813181,52,52.7,115.17,70.7,70.7,3.38
sechura,pe,0,1527813181,81,-5.56,-80.82,70.34,70.34,12.21
clearwater,us,90,1527812100,88,27.97,-82.8,82.4,81.12,6.17
areia branca,br,40,1527811200,65,-10.76,-37.31,80.6,80.6,11.41
yoichi,jp,75,1527810180,82,43.19,140.77,59,59,14.99
pangody,ru,80,1527813182,94,65.85,74.49,33.8,33.8,20.49
severo-kurilsk,ru,0,1527813182,92,50.68,156.12,42.08,42.08,0.36
konevo,ru,0,1527813183,74,41.67,25.61,53.87,53.87,3.04
galiwinku,au,,,,,,,,
port keats,au,0,1527813183,64,-14.25,129.55,75.29,75.29,13.33
balkanabat,tm,0,1527813183,74,39.51,54.36,61.43,61.43,0.58
faya,td,0,1527811200,60,18.39,42.45,71.6,71.6,2.48
turukhansk,ru,0,1527813184,88,65.8,87.96,25.97,25.97,4.61
tupancireta,br,92,1527813184,98,-29.08,-53.84,62.6,62.6,1.25
hovd,mn,40,1527810600,72,63.83,10.7,59,57.13,12.75
gurgan,az,,,,,,,,
kuruman,za,0,1527813185,65,-27.46,23.43,31.64,31.64,4.5
bandar-e lengeh,ir,0,1527811200,37,26.56,54.88,84.2,84.2,11.21
udachnyy,ru,36,1527813185,87,66.42,112.4,39.2,39.2,8.86
victoria,sc,90,1527811200,88,5.28,115.24,78.8,77.79,4.7
mitsamiouli,km,36,1527813185,100,-11.38,43.28,78.35,78.35,11.65
narsaq,gl,20,1527810600,65,60.91,-46.05,44.6,44.6,2.24
ruatoria,nz,,,,,,,,
kintinku,tz,0,1527813186,76,-5.89,35.22,67.55,67.55,9.98
salinopolis,br,20,1527813186,100,-0.61,-47.36,80.6,80.6,11.43
kirkenes,no,92,1527810600,87,69.73,30.05,46.4,46.4,13.87
san patricio,mx,92,1527813021,100,-26.98,-56.83,65.93,65.93,2.71
ures,mx,0,1527813187,31,30.73,-112.95,87.17,87.17,10.42
chikwawa,mw,0,1527813187,91,-16.03,34.79,56.93,56.93,3.15
solsvik,no,,,,,,,,
hihifo,to,,,,,,,,
mogadishu,so,36,1527813187,100,2.04,45.34,78.62,78.62,15.79
hilo,us,90,1527811380,88,19.71,-155.08,73.4,72.37,6.93
charagua,bo,90,1527807600,93,-19.79,-63.2,64.4,64.4,5.82
kyle,us,1,1527810960,46,29.99,-97.88,96.8,93.97,18.34
eregli,tr,92,1527813189,100,37.51,34.05,54.05,54.05,3.27
suhbaatar,mn,0,1527813189,54,50.23,106.21,72.23,72.23,4.61
pemangkat,id,,,,,,,,
zhongshu,cn,88,1527813189,96,24.52,103.77,60.71,60.71,3.71
aksarayskiy,ru,0,1527811200,72,46.79,48.01,60.8,60.8,6.71
amazar,ru,0,1527813190,68,53.86,120.88,68.18,68.18,3.15
kambia,sl,36,1527813190,96,9.13,-12.92,80.15,80.15,10.42
verkhoyansk,ru,36,1527813190,65,67.55,133.39,48.38,48.38,3.6
bubaque,gw,0,1527807600,74,11.28,-15.83,78.8,78.8,3.36
seoul,kr,1,1527810960,73,37.57,126.98,73.4,71.26,3.6
rungata,ki,,,,,,,,
mehamn,no,92,1527813191,98,71.03,27.85,43.52,43.52,3.83
altay,cn,0,1527812983,62,47.83,88.13,29.75,29.75,2.15
chernyakhiv,ua,0,1527813191,32,50.46,28.67,59.63,59.63,11.54
namikupa,tz,0,1527813191,93,-10.84,39.63,65.66,65.66,5.39
guerrero negro,mx,0,1527813192,68,27.97,-114.04,69.35,69.35,14.45
nuziders,at,92,1527812400,82,47.17,9.8,62.6,61.77,3.36
humaita,br,90,1527811200,100,-24.93,-65.37,48.2,48.2,9.17
cubuk,tr,40,1527810600,76,40.24,33.03,57.2,57.2,10.29
peniche,pt,20,1527811200,82,39.36,-9.38,57.2,56.3,6.93
payson,us,75,1527810960,30,40.04,-111.73,84.2,82.63,18.34
chokurdakh,ru,8,1527813017,100,70.62,147.9,29.66,29.66,7.18
labuhan,id,80,1527813193,94,-2.54,115.51,74.03,74.03,1.48
gainesville,us,75,1527810900,78,29.65,-82.33,82.4,81.84,3.36
seminole,us,1,1527812100,8,32.72,-102.64,102.2,101.26,5.82
lebanon,us,90,1527812100,64,43.64,-72.25,78.8,75.2,10.29
buchanan,lr,75,1527811200,94,5.88,-10.05,77,77,4.61
serebryanyy bor,ru,0,1527813194,80,56.8,124.8,56.48,56.48,3.38
cidreira,br,88,1527813195,95,-30.17,-50.22,63.77,63.77,5.17
